Kaggle_ID,Date,Hour,Temperature,Humidity,Wind speed,Visibility,Dew point temperature,Solar Radiation,Rainfall,Snowfall,Seasons,Holiday,Functioning Day,Record_id,Rented Bike Count
0,15/05/2018,11,24.8,36,1.8,973,8.7,2.7,0.0,0.0,Sprng,No Holiday,Yes,5137441,943
1,7/9/2018,23,12.9,0,2.4,1688,50.9,0.0,2.4,1.4,Sproing,No Holiday,No,1465289,156
2,8/6/2018,21,21.2,77,1.7,638,16.9,0.0,0.0,0.0,Summr,No Holiday,Yes,13081158,2477
3,3/2/2018,23,-10.0,48,2.6,2000,-18.9,0.0,0.0,0.0,Winteer,No Holiday,Yes,807953,88
4,20/07/2018,18,33.9,42,2.0,1969,19.1,1.25,0.0,0.0,Sumer,No Holiday,Yes,13313822,2584
5,23/06/2018,18,26.3,55,3.2,1119,16.5,0.64,0.0,0.0,Summer,No Holiday,Yes,11877337,2328
6,6/7/2018,1,23.1,66,1.6,2000,16.3,0.0,0.0,0.0,Sumer,No Holiday,Yes,4965018,831
7,11/3/2018,3,4.4,80,1.6,393,1.2,0.0,0.0,0.0,Sprng,No Holiday,Yes,1151402,130
8,20/01/2018,22,1.5,48,2.4,422,-8.3,0.0,0.0,0.0,Wintr,No Holiday,Yes,1613698,225
9,22/05/2018,8,18.2,63,0.8,1731,11.0,1.0,0.0,0.0,Sproing,Holiday,Yes,4164837,719
10,9/1/2018,23,-4.9,80,0.7,690,-7.8,0.0,0.0,0.2,Wonter,No Holiday,Yes,1200126,77
11,7/12/2017,21,-2.2,46,2.2,1975,-12.2,0.0,0.0,0.0,Wintr,No Holiday,Yes,3017933,420
12,4/12/2017,15,-0.1,25,5.8,2000,-17.8,0.88,0.0,0.0,Wintr,No Holiday,Yes,2409351,389
13,17/06/2018,21,22.7,66,0.9,1069,16.0,0.0,0.0,0.0,Summmer,No Holiday,Yes,11098581,2128
14,26/02/2018,11,4.6,37,1.6,1309,-8.8,1.95,0.0,0.0,Winter,No Holiday,Yes,2425606,343
15,30/09/2018,15,21.3,32,3.8,2000,3.9,2.31,0.0,0.0,Auttumn,No Holiday,No,239646,0
16,2/12/2017,23,4.0,56,1.0,1352,-4.0,0.0,0.0,0.0,Wintr,No Holiday,Yes,2268243,349
17,9/12/2017,4,-4.3,49,0.7,2000,-13.4,0.0,0.0,0.0,Wintr,No Holiday,Yes,1161028,75
18,23/09/2018,8,17.0,69,1.2,2000,11.2,0.3,0.0,0.0,Autumn,Holiday,Yes,2715639,426
19,30/12/2017,6,-1.1,81,,253,-3.9,0.0,0.0,0.0,Winteer,No Holiday,Yes,674867,56
20,1/7/2018,8,22.1,93,,805,20.9,0.14,1.0,0.0,Summer,No Holiday,Yes,374571,22
21,25/06/2018,22,27.4,55,0.3,1001,17.5,0.0,0.0,0.0,Summr,No Holiday,Yes,11274078,2098
22,7/1/2018,11,0.5,35,1.4,1558,-13.2,0.75,0.0,0.0,Winter,No Holiday,Yes,1474565,201
23,17/02/2018,8,-7.1,30,1.7,1991,-21.7,0.04,0.0,0.0,Winteer,Holiday,Yes,676937,59
24,6/10/2018,-10,12.4,57,1.8,1385,4.1,0.56,0.2,0.1,Autum,No Holiday,Yes,6889044,1334
25,3/4/2018,23,15.0,94,1.6,163,14.0,0.0,0.0,0.0,Spriing,No Holiday,Yes,3104694,457
26,13/08/2018,-10,12.1,58,1.7,1503,3.6,0.62,0.2,0.1,Sproing,No Holiday,No,2020683,283
27,12/2/2018,23,29.4,2,4.3,2059,-8.5,0.0,1.6,0.0,Autmn,Holiday,No,8491368,1502
28,12/4/2018,7,7.6,54,1.7,1690,-1.1,0.13,0.0,0.0,Sproing,No Holiday,Yes,5499687,1038
29,7/7/2018,5,19.8,63,1.4,2000,12.5,0.0,0.0,0.0,Summmer,No Holiday,Yes,1590004,275
30,20/10/2018,7,7.0,82,0.5,867,4.1,0.0,0.0,0.0,Auttumn,No Holiday,Yes,2499985,423
31,9/8/2018,1,28.8,75,2.1,1975,23.9,0.0,0.0,0.0,Summmer,No Holiday,Yes,4683794,755
32,19/07/2018,16,33.7,43,2.7,1890,19.3,2.55,0.0,0.0,Summmer,No Holiday,Yes,6102944,1034
33,7/8/2018,-10,12.3,59,1.7,1430,5.1,0.6,0.2,0.1,Spriing,Holiday,No,10955626,1994
34,24/07/2018,10,32.4,54,0.9,1631,21.8,1.45,0.0,0.0,Sumer,No Holiday,Yes,3369083,584
35,13/03/2018,15,18.6,47,3.3,1560,7.0,2.08,0.0,0.0,Spring,No Holiday,Yes,4635312,867
36,11/12/2017,9,-5.9,36,5.1,1941,-18.6,0.1,0.0,0.0,Wonter,No Holiday,Yes,2378400,352
37,4/6/2018,22,22.0,64,1.8,1211,14.8,0.0,,0.0,Sumer,No Holiday,Yes,10485049,1966
38,4/10/2018,4,13.3,75,0.4,1792,8.9,0.0,0.0,0.0,Autumn,No Holiday,No,661513,0
39,23/09/2018,22,18.5,40,2.5,2000,4.6,0.0,0.0,0.0,Autumn,Holiday,Yes,6020580,1045
40,10/1/2018,18,-7.8,32,4.5,2000,-21.6,0.02,0.0,0.0,Wonter,No Holiday,Yes,2514355,428
41,9/8/2018,6,27.7,84,1.4,1436,24.7,0.0,0.0,0.0,Summmer,No Holiday,Yes,3732905,620
42,14/02/2018,18,5.1,34,2.3,1440,-9.5,0.09,0.0,0.0,Winteer,No Holiday,Yes,3466152,588
